Customer_ID,City,Age_Band,Gender,Acquisition_Channel,First_Purchase_Date,Total_Orders,Total_Revenue,Last_Purchase_Date,Churned
C1,Delhi,18-24,F,Marketplace,2025-11-08,19,33219,2026-04-27,0
C2,Mumbai,18-24,M,App,2025-03-19,4,7139,2025-11-11,0
C3,Hyderabad,18-24,F,Marketplace,2025-04-03,3,10843,2025-12-22,0
C4,Pune,45-54,M,Marketplace,2024-09-13,17,44332,2026-06-01,0
C5,Pune,45-54,F,Offline,2024-11-27,7,36395,2026-04-11,0
C6,Delhi,35-44,M,Website,2025-10-13,15,25969,2025-10-23,0
C7,Bangalore,45-54,F,Marketplace,2025-07-16,13,39958,2025-07-28,0
C8,Delhi,18-24,M,Website,2025-09-16,15,17133,2025-07-24,0
C9,Bangalore,55+,F,Website,2025-10-27,16,16310,2025-10-29,0
C10,Chennai,45-54,F,App,2025-12-26,3,35834,2025-10-20,0
C11,Hyderabad,35-44,F,Offline,2026-04-27,16,48219,2026-04-21,0
C12,Mumbai,25-34,M,App,2025-03-24,11,31189,2026-02-01,0
C13,Chennai,18-24,M,App,2024-09-20,4,7985,2026-01-29,0
C14,Chennai,18-24,F,Marketplace,2026-04-27,17,22041,2026-03-31,0
C15,Pune,45-54,F,App,2024-12-16,7,31378,2025-08-23,0
C16,Pune,45-54,F,Marketplace,2026-04-30,1,30102,2025-09-23,1
C17,Delhi,35-44,F,Website,2025-09-05,7,12781,2026-02-16,0
C18,Mumbai,55+,F,App,2025-06-21,14,30669,2025-07-22,0
C19,Hyderabad,45-54,M,Website,2024-11-26,15,45028,2026-07-03,0
C20,Bangalore,55+,F,Website,2025-10-28,3,13847,2026-03-13,0
C21,Mumbai,45-54,F,App,2025-12-19,16,36885,2025-09-03,0
C22,Hyderabad,35-44,F,Website,2024-07-17,14,12005,2026-05-11,0
C23,Chennai,35-44,F,App,2025-11-10,12,19980,2025-10-18,0
C24,Pune,18-24,F,Website,2025-07-13,13,24297,2026-02-25,0
C25,Pune,25-34,M,App,2025-01-07,12,7769,2026-05-15,0
C26,Pune,55+,F,App,2026-03-25,13,17111,2025-08-09,0
C27,Pune,18-24,F,Offline,2025-10-31,14,40325,2025-09-12,0
C28,Delhi,45-54,F,Offline,2025-10-13,3,48993,2026-06-10,0
C29,Delhi,25-34,F,Website,2024-11-13,11,888,2026-03-12,0
C30,Delhi,55+,M,Website,2026-04-03,11,18096,2026-02-23,0
C31,Mumbai,45-54,F,Offline,2025-09-30,19,8069,2026-04-16,0
C32,Bangalore,25-34,F,Marketplace,2024-07-22,16,12293,2025-07-13,0
C33,Pune,18-24,F,Marketplace,2026-05-13,7,5600,2026-05-14,0
C34,Mumbai,55+,F,App,2024-09-08,18,49538,2026-03-03,0
C35,Delhi,45-54,F,Website,2025-02-20,2,42758,2025-11-21,0
C36,Hyderabad,45-54,F,Offline,2025-05-04,2,27177,2025-08-03,0
C37,Chennai,45-54,F,App,2024-08-22,5,6787,2026-06-29,0
C38,Mumbai,18-24,M,Offline,2024-12-15,9,3113,2025-08-20,0
C39,Delhi,25-34,F,App,2026-05-08,18,31740,2025-08-14,0
C40,Bangalore,45-54,F,Offline,2025-08-30,4,13150,2025-11-04,0
C41,Pune,45-54,M,Website,2025-07-18,5,34432,2025-11-17,0
C42,Hyderabad,25-34,F,Offline,2024-10-17,12,43780,2026-05-19,0
C43,Hyderabad,18-24,M,Marketplace,2024-10-27,14,49389,2026-04-05,0
C44,Chennai,55+,F,App,2024-07-30,1,32271,2025-10-13,0
C45,Chennai,35-44,F,Offline,2026-04-21,3,14570,2026-06-14,0
C46,Pune,18-24,M,Marketplace,2024-12-13,8,37125,2025-08-28,0
C47,Mumbai,45-54,M,Marketplace,2026-04-15,7,19656,2026-04-25,0
C48,Mumbai,18-24,F,Website,2025-02-23,13,41095,2026-03-17,0
C49,Chennai,18-24,M,Marketplace,2025-10-10,6,33287,2026-06-08,0
C50,Pune,18-24,M,App,2025-04-09,10,6621,2026-03-24,0
C51,Bangalore,18-24,M,Offline,2025-06-09,15,44027,2025-08-03,0
C52,Hyderabad,45-54,F,Offline,2025-12-28,20,8043,2025-10-18,0
C53,Bangalore,55+,F,Offline,2024-12-24,1,20361,2026-05-15,1
C54,Chennai,35-44,M,Website,2025-06-16,17,34194,2025-11-24,0
C55,Bangalore,18-24,F,Website,2024-10-09,20,38944,2026-06-15,0
C56,Hyderabad,55+,M,Website,2024-10-31,12,10093,2025-10-18,0
C57,Chennai,25-34,F,Website,2026-03-25,13,1032,2025-10-24,0
