Product_ID,Name,Category,MRP,COGS,Stock_Units,Avg_Monthly_Sales
P1,Product_1,Beauty,4921,2017,383,112
P2,Product_2,Home,3191,957,234,143
P3,Product_3,Electronics,2561,768,121,24
P4,Product_4,Apparel,3242,1069,490,184
P5,Product_5,Apparel,1119,369,388,27
P6,Product_6,Electronics,1835,550,8,167
P7,Product_7,Home,2808,1207,162,199
P8,Product_8,Electronics,1667,800,408,173
P9,Product_9,Apparel,2580,851,138,188
P10,Product_10,Grocery,1054,527,352,102
P11,Product_11,Electronics,1011,434,302,11
P12,Product_12,Apparel,562,174,454,142
P13,Product_13,Electronics,4992,1497,127,97
P14,Product_14,Grocery,4389,1931,289,11
P15,Product_15,Grocery,853,281,446,190
P16,Product_16,Grocery,2315,1088,256,76
P17,Product_17,Electronics,236,82,167,134
P18,Product_18,Home,3080,1108,114,33
P19,Product_19,Apparel,895,393,498,181
P20,Product_20,Beauty,133,45,396,138
P21,Product_21,Beauty,1363,504,290,52
P22,Product_22,Electronics,4371,2010,427,18
P23,Product_23,Grocery,1211,569,460,104
P24,Product_24,Grocery,2140,963,138,140
P25,Product_25,Apparel,2330,1048,250,178
P26,Product_26,Electronics,3743,1908,458,106
P27,Product_27,Beauty,4124,1237,236,8
P28,Product_28,Beauty,1036,559,146,139
P29,Product_29,Beauty,2307,738,379,136
P30,Product_30,Apparel,574,269,402,192
P31,Product_31,Home,4429,1683,374,103
P32,Product_32,Electronics,3713,1856,294,49
P33,Product_33,Beauty,2533,1266,385,138
P34,Product_34,Electronics,868,442,195,143
P35,Product_35,Home,3394,1730,32,16
P36,Product_36,Home,4398,2242,52,28
P37,Product_37,Apparel,1414,692,483,25
P38,Product_38,Home,4479,2329,199,148
P39,Product_39,Beauty,1082,324,228,192
P40,Product_40,Electronics,579,237,447,9
P41,Product_41,Grocery,2620,943,175,27
P42,Product_42,Beauty,389,151,78,111
P43,Product_43,Electronics,721,295,146,105
P44,Product_44,Home,4903,1814,314,164
P45,Product_45,Apparel,4036,1896,285,146
P46,Product_46,Electronics,634,253,372,55
P47,Product_47,Beauty,1235,580,183,144
P48,Product_48,Home,1309,641,400,114
P49,Product_49,Grocery,1320,673,99,51
P50,Product_50,Electronics,2448,954,197,103
