Transaction_ID,Date,Customer_ID,Product_ID,Category,Units,Unit_Price,Discount_Pct,Channel,City,Return_Flag
T1,2025-01-24,C2,P2,Sports,5,539,15,Marketplace,Pune,1
T2,2025-12-15,C3,P3,Grocery,1,4228,5,Marketplace,Delhi,0
T3,2025-10-11,C4,P4,Books,2,2061,15,Offline,Chennai,0
T4,2025-04-24,C5,P5,Electronics,3,2164,0,Website,Chennai,0
T5,2025-06-25,C6,P6,Apparel,1,2341,0,Website,Kolkata,0
T6,2025-06-08,C7,P7,Grocery,4,4719,0,Website,Bangalore,0
T7,2026-05-12,C8,P8,Health,5,1154,0,App,Jaipur,1
T8,2025-11-27,C9,P9,Home,4,3148,0,Website,Mumbai,0
T9,2025-11-06,C10,P10,Sports,5,2071,0,App,Delhi,0
T10,2026-02-21,C11,P11,Health,3,4562,0,Marketplace,Delhi,0
T11,2025-02-12,C12,P12,Home,5,4880,15,Website,Delhi,0
T12,2026-03-27,C13,P13,Home,3,3609,0,Website,Chennai,0
T13,2025-08-27,C14,P14,Health,5,3950,5,App,Delhi,1
T14,2025-08-08,C15,P15,Sports,5,3325,15,App,Pune,0
T15,2025-04-17,C16,P16,Electronics,2,1593,0,Marketplace,Pune,0
T16,2024-11-05,C17,P17,Apparel,1,1976,15,Marketplace,Delhi,0
T17,2025-02-27,C18,P18,Beauty,4,667,0,App,Bangalore,0
T18,2025-05-09,C19,P19,Home,2,779,0,Offline,Jaipur,1
T19,2025-02-04,C20,P20,Home,4,4891,0,App,Chennai,0
T20,2026-03-15,C21,P21,Electronics,3,2463,0,App,Hyderabad,0
T21,2026-03-11,C22,P22,Books,1,1420,10,Website,Jaipur,0
T22,2024-12-23,C23,P23,Beauty,3,2238,10,Website,Mumbai,0
T23,2024-11-23,C24,P24,Grocery,5,4116,0,Offline,Pune,0
T24,2026-02-10,C25,P25,Sports,5,1620,0,App,Bangalore,1
T25,2025-06-05,C26,P26,Health,1,1030,10,Website,Delhi,0
T26,2025-04-05,C27,P27,Books,1,1723,5,Offline,Delhi,0
T27,2025-06-04,C28,P28,Books,3,4637,5,Website,Jaipur,0
T28,2025-03-11,C29,P29,Books,4,2429,0,App,Chennai,1
T29,2026-02-25,C30,P30,Apparel,4,4541,15,Offline,Bangalore,1
T30,2026-04-17,C31,P31,Apparel,3,581,15,Offline,Jaipur,0
T31,2024-12-20,C32,P32,Health,3,2094,5,Marketplace,Chennai,0
T32,2024-08-20,C33,P33,Electronics,4,639,5,App,Hyderabad,0
T33,2025-03-04,C34,P34,Apparel,4,3203,5,Website,Delhi,0
T34,2025-09-17,C35,P35,Health,2,4959,0,Website,Mumbai,0
T35,2024-10-22,C36,P36,Health,4,1512,0,Offline,Jaipur,0
T36,2025-02-27,C37,P37,Apparel,2,1105,5,Marketplace,Delhi,0
T37,2025-08-02,C38,P38,Beauty,3,3943,5,Marketplace,Hyderabad,0
T38,2025-05-22,C39,P39,Health,1,2911,15,Offline,Bangalore,0
T39,2025-05-10,C40,P40,Beauty,3,4827,0,Offline,Jaipur,0
T40,2025-11-09,C41,P41,Health,5,2043,15,Offline,Hyderabad,0
T41,2024-10-05,C42,P42,Apparel,2,4489,0,Website,Mumbai,1
T42,2026-05-12,C43,P43,Health,3,3702,10,Offline,Delhi,0
T43,2024-08-21,C44,P44,Health,2,4186,10,Marketplace,Kolkata,0
T44,2026-05-09,C45,P45,Apparel,3,671,5,Offline,Bangalore,0
T45,2025-10-22,C46,P46,Health,1,3777,5,App,Hyderabad,0
T46,2026-02-06,C47,P47,Health,5,3972,0,Offline,Chennai,0
T47,2025-05-13,C48,P48,Sports,4,896,15,Website,Mumbai,0
T48,2025-05-08,C49,P49,Sports,3,1815,0,Offline,Hyderabad,0
T49,2026-03-04,C50,P50,Electronics,3,667,5,App,Bangalore,0
T50,2025-10-01,C51,P1,Health,5,1311,0,Website,Jaipur,0
T51,2024-12-18,C52,P2,Books,1,3765,0,Website,Kolkata,1
T52,2026-01-02,C53,P3,Sports,1,4251,0,App,Kolkata,0
T53,2025-07-08,C54,P4,Sports,3,694,0,App,Kolkata,0
T54,2026-06-21,C55,P5,Electronics,1,4385,10,Website,Pune,0
T55,2026-01-20,C56,P6,Apparel,4,4555,10,Marketplace,Chennai,0
T56,2025-09-27,C57,P7,Electronics,3,1818,0,Marketplace,Pune,0
T57,2026-05-13,C58,P8,Health,2,1589,15,Marketplace,Mumbai,0
T58,2024-12-02,C59,P9,Beauty,3,4297,5,Website,Kolkata,0
T59,2024-12-07,C60,P10,Home,5,1319,5,Website,Mumbai,0
