Order_ID,Order_Date,City,State,Category,Quantity,Unit_Price_INR,Discount,Sales_INR,Profit_INR,Payment_Method,Channel
IN100001,2025-02-17,Kolkata,West Bengal,Grocery,5,810.48,0.2,3241.92,713.22,UPI,Online
IN100002,2025-10-06,Hyderabad,Telangana,Grocery,4,572.06,0.25,1716.18,377.56,UPI,Online
IN100003,2025-11-20,Ahmedabad,Gujarat,Electronics,3,2686.61,0.1,7253.85,1740.92,Net Banking,Online
IN100004,2025-12-05,Chennai,Tamil Nadu,Electronics,1,4142.83,0.2,3314.26,795.42,Credit Card,Online
IN100005,2024-09-22,Kolkata,West Bengal,Clothing,2,1675.24,0.05,3182.96,891.23,UPI,Online
IN100006,2025-07-25,Lucknow,Uttar Pradesh,Beauty,2,696.33,0.2,1114.13,356.52,Credit Card,Store
IN100007,2024-07-23,Bengaluru,Karnataka,Grocery,3,544.65,0.05,1552.25,341.49,UPI,Store
IN100008,2025-10-28,Kolkata,West Bengal,Home & Kitchen,5,1986.99,0.25,7451.21,2235.36,UPI,Online
IN100009,2025-08-06,Ahmedabad,Gujarat,Clothing,1,1361.67,0.05,1293.59,362.21,UPI,Online
IN100010,2024-06-04,Chennai,Tamil Nadu,Clothing,3,1438.8,0.0,4316.4,1208.59,Net Banking,Online
IN100011,2024-06-21,Hyderabad,Telangana,Electronics,3,4219.21,0.0,12657.63,3037.83,Debit Card,Online
IN100012,2024-11-03,Ahmedabad,Gujarat,Electronics,2,3114.09,0.0,6228.18,1494.76,Cash,Online
IN100013,2025-03-25,Ahmedabad,Gujarat,Home & Kitchen,4,2291.57,0.1,8249.65,2474.9,Net Banking,Store
IN100014,2024-03-02,Bengaluru,Karnataka,Grocery,4,734.16,0.1,2642.98,581.46,Net Banking,Store
IN100015,2025-01-07,Pune,Maharashtra,Clothing,5,1090.67,0.25,4090.01,1145.2,Debit Card,Online
IN100016,2025-04-04,Chennai,Tamil Nadu,Home & Kitchen,5,2131.07,0.1,9589.82,2876.95,Debit Card,Store
IN100017,2025-04-19,Delhi,Delhi,Clothing,3,1453.39,0.05,4142.16,1159.8,UPI,Store
IN100018,2025-01-15,Ahmedabad,Gujarat,Beauty,5,761.68,0.15,3237.14,1035.88,UPI,Online
IN100019,2025-12-17,Pune,Maharashtra,Clothing,4,1243.49,0.0,4973.96,1392.71,Credit Card,Store
IN100020,2025-07-25,Delhi,Delhi,Clothing,1,1487.17,0.2,1189.74,333.13,Credit Card,Store
IN100021,2024-03-26,Chennai,Tamil Nadu,Clothing,2,1527.55,0.1,2749.59,769.89,Net Banking,Store
IN100022,2024-05-22,Mumbai,Maharashtra,Electronics,4,4253.81,0.15,14462.95,3471.11,Credit Card,Online
IN100023,2024-01-07,Lucknow,Uttar Pradesh,Electronics,5,4017.82,0.0,20089.1,4821.38,Debit Card,Store
IN100024,2024-10-21,Pune,Maharashtra,Grocery,2,541.97,0.0,1083.94,238.47,Credit Card,Store
IN100025,2025-11-21,Jaipur,Rajasthan,Home & Kitchen,2,2165.57,0.2,3464.91,1039.47,UPI,Online
IN100026,2025-06-02,Mumbai,Maharashtra,Home & Kitchen,3,1269.7,0.1,3428.19,1028.46,Credit Card,Online
IN100027,2025-10-13,Lucknow,Uttar Pradesh,Electronics,5,2510.0,0.3,8785.0,2108.4,Credit Card,Online
IN100028,2025-06-09,Bengaluru,Karnataka,Grocery,3,539.37,0.1,1456.3,320.39,Credit Card,Store
IN100029,2024-02-03,Kolkata,West Bengal,Electronics,2,3482.17,0.2,5571.47,1337.15,Credit Card,Online
IN100030,2024-11-24,Hyderabad,Telangana,Electronics,3,2644.94,0.3,5554.37,1333.05,UPI,Store
IN100031,2025-08-31,Jaipur,Rajasthan,Grocery,5,609.33,0.05,2894.32,636.75,Credit Card,Online
IN100032,2025-09-29,Bengaluru,Karnataka,Grocery,4,557.57,0.2,1784.22,392.53,Debit Card,Online
IN100033,2024-02-03,Chennai,Tamil Nadu,Electronics,1,2941.83,0.0,2941.83,706.04,Credit Card,Online
IN100034,2025-02-09,Bengaluru,Karnataka,Electronics,4,4200.3,0.15,14281.02,3427.44,Credit Card,Online
IN100035,2024-01-18,Kolkata,West Bengal,Beauty,2,1213.47,0.15,2062.9,660.13,UPI,Online
IN100036,2025-03-05,Chennai,Tamil Nadu,Electronics,4,3666.3,0.1,13198.68,3167.68,UPI,Online
IN100037,2025-03-03,Jaipur,Rajasthan,Clothing,3,1500.8,0.0,4502.4,1260.67,UPI,Online
IN100038,2024-10-19,Kolkata,West Bengal,Grocery,5,754.32,0.15,3205.86,705.29,UPI,Online
IN100039,2025-08-02,Delhi,Delhi,Electronics,4,3845.04,0.2,12304.13,2952.99,Credit Card,Online
IN100040,2024-03-20,Hyderabad,Telangana,Electronics,4,3777.15,0.25,11331.45,2719.55,Cash,Online
IN100041,2024-03-26,Jaipur,Rajasthan,Clothing,5,1054.52,0.15,4481.71,1254.88,UPI,Store
IN100042,2025-07-25,Delhi,Delhi,Home & Kitchen,3,1623.04,0.05,4625.66,1387.7,UPI,Store
IN100043,2024-02-17,Lucknow,Uttar Pradesh,Grocery,1,600.1,0.2,480.08,105.62,Credit Card,Store
IN100044,2025-11-21,Jaipur,Rajasthan,Grocery,4,611.01,0.2,1955.23,430.15,Credit Card,Online
IN100045,2024-03-24,Lucknow,Uttar Pradesh,Beauty,2,831.42,0.05,1579.7,505.5,Credit Card,Online
IN100046,2025-08-29,Chennai,Tamil Nadu,Home & Kitchen,3,2180.9,0.0,6542.7,1962.81,Cash,Online
IN100047,2024-11-03,Delhi,Delhi,Clothing,3,1660.32,0.2,3984.77,1115.74,Cash,Online
IN100048,2024-09-08,Hyderabad,Telangana,Clothing,4,984.19,0.2,3149.41,881.83,UPI,Store
IN100049,2025-04-25,Kolkata,West Bengal,Grocery,5,580.22,0.0,2901.1,638.24,Net Banking,Online
IN100050,2024-06-28,Ahmedabad,Gujarat,Grocery,4,718.5,0.25,2155.5,474.21,UPI,Online
IN100051,2025-08-18,Bengaluru,Karnataka,Grocery,4,505.81,0.1,1820.92,400.6,Debit Card,Online
IN100052,2024-11-05,Mumbai,Maharashtra,Grocery,5,485.08,0.3,1697.78,373.51,Debit Card,Store
IN100053,2025-03-01,Hyderabad,Telangana,Electronics,2,3963.07,0.1,7133.53,1712.05,Debit Card,Store
IN100054,2025-04-30,Delhi,Delhi,Clothing,5,1391.94,0.1,6263.73,1753.84,UPI,Online
IN100055,2025-10-23,Ahmedabad,Gujarat,Clothing,4,1758.68,0.05,6682.98,1871.23,UPI,Online
